ProjectID,Vendor,BusinessUnit,Category,PlannedDays,ActualDays,Budget,ActualSpend,ScheduleVariancePct,BudgetVariancePct,ScheduleZscore,BudgetZscore,RiskTier,OTIF
PRJ-1483,Vendor D,BU-3,Hardware,60,52,47212,51122,-13.33,8.28,1.72,0.18,Medium,On-Time
PRJ-1484,Vendor D,BU-2,Software,100,103,46615,48517,3.0,4.08,0.76,0.13,Low,On-Time
PRJ-1485,Vendor A,BU-1,Services,88,94,37041,42697,6.82,15.27,0.53,0.68,Low,On-Time
PRJ-1486,Vendor C,BU-4,Services,110,138,51101,58617,25.45,14.71,0.56,0.64,Low,Delayed
PRJ-1487,Vendor C,BU-3,Components,70,96,56759,57626,37.14,1.53,1.25,0.31,Medium,Delayed
PRJ-1488,Vendor B,BU-1,Components,112,111,37392,37390,-0.89,-0.01,0.99,0.42,Low,On-Time
PRJ-1489,Vendor A,BU-3,Software,82,77,57368,54430,-6.1,-5.12,1.29,0.78,Medium,On-Time
PRJ-1490,Vendor D,BU-2,Components,91,106,44618,46441,16.48,4.09,0.04,0.12,Low,On-Time
PRJ-1491,Vendor C,BU-1,Hardware,88,109,24031,35831,23.86,49.1,0.47,3.1,High,Delayed
PRJ-1492,Vendor D,BU-3,Components,74,92,46373,52592,24.32,13.41,0.5,0.54,Low,Delayed
PRJ-1493,Vendor B,BU-1,Software,96,106,39385,37005,10.42,-6.04,0.32,0.85,Low,On-Time
PRJ-1494,Vendor D,BU-4,Components,60,60,60160,59292,0.0,-1.44,0.94,0.52,Low,On-Time
PRJ-1495,Vendor A,BU-2,Software,74,67,31438,31356,-9.46,-0.26,1.49,0.44,Medium,On-Time
PRJ-1496,Vendor C,BU-4,Hardware,87,112,37904,37998,28.74,0.25,0.76,0.4,Low,Delayed
PRJ-1497,Vendor B,BU-3,Components,88,89,35813,39928,1.14,11.49,0.87,0.4,Low,On-Time
PRJ-1498,Vendor C,BU-2,Services,85,129,42962,43554,51.76,1.38,2.11,0.32,High,Delayed
PRJ-1499,Vendor A,BU-3,Hardware,104,114,33444,31121,9.62,-6.95,0.37,0.92,Low,On-Time
